PLACES,CATEGORY,Location
"Marina Beach,Chennai",Beaches,"(13.0518752, 80.2830143027039)"
"Elliot's Beach,Chennai",Beaches,"(12.99791915, 80.2716791299117)"
"Government Museum, Egmore,Chennai",Museums,"(11.413229, 76.691435)"
"Chennai Rail Museum,Chennai",Museums,"(13.066386, 80.251302)"
"Birla Planetarium,Chennai",Museums,"(13.0119591, 80.2440161)"
"Vivekanandar Illam,Chennai",Historical Monuments,"(13.04915905, 80.2802387155353)"
"Valluvar Kottam,Chennai",Historical Monuments,"(13.05407625, 80.2418274596113)"
"Fort St George,Chennai",Historic Government Buildings,"(13.07946, 80.287794)"
"Ripon Building,Chennai",Historic Government Buildings,"(13.0812681, 80.2731701)"
"Arignar Anna Zoological Park,Chennai",Wildlife,"(13.107688, 80.288486)"
"Vandalur Zoo,Chennai",Wildlife,"(12.880071, 80.082345)"
"Madras Crocodile Bank Trust,Chennai",Wildlife,"(13.017218, 80.241041)"
"Guindy National Park,Chennai",Wildlife,"(13.000005, 80.2280748844121)"
"Snake Park,Chennai",Wildlife,"(13.0032701, 80.2384929)"
"Children's Park,Chennai",Wildlife,"(13.0043766, 80.2365499866558)"
"Adyar Eco Park,Chennai",Nature,"(13.03013, 80.24965)"
"Chetpet Lake,Chennai",Nature,"(13.0717448, 80.2437973)"
"The Huddleston Gardens of Theosophical Society,Chennai",Nature,"(13.005983, 80.266497)"
"Dakshina Chitra,Chennai",Art and Crafts,"(13.030109, 80.203047)"
"Kalakshetra,Chennai",Art and Crafts,"(12.988175, 80.2649839)"
"Cholamandalam Artists' Village,Chennai",Art and Crafts,"(12.922906, 80.251728)"
"Kapaleeshwarar temple,Chennai",Places of Worship,"(12.918683, 80.102209)"
"Parthasarathy Temple,Chennai",Places of Worship,"(13.0539798, 80.2765884)"
"St. Thomas Mount,Chennai",Places of Worship,"(12.9953587, 80.1997148)"
"Santhome Basilica,Chennai",Places of Worship,"(13.052609, 80.250813)"
"Armenian Church of Virgin Mary,Chennai",Places of Worship,"(13.079849, 80.280438)"
"St. Mary's Church,Chennai",Places of Worship,"(13.07878605, 80.286593152475)"
"T. Nagar,Chennai",Shopping,"(13.0294483, 80.2309064)"
"George Town,Chennai",Shopping,"(13.0920917, 80.2822426)"
"Parrys Corner,Chennai",Shopping,"(13.0888351, 80.2903703)"
"Mint Street,Chennai",Shopping,"(13.0991403, 80.280109)"
"Burma Bazaar,Chennai",Shopping,"(13.0920825, 80.2917384828656)"
"Moore Market,Chennai",Shopping,"(13.0833302, 80.272561)"
